username,total_stars,avg_stars_per_repo,max_repo_stars,total_forks,avg_forks_per_repo,max_repo_forks,active_repos,total_repositories_found,active_repo_ratio
FengZiYjun,89,2.6176470588235294,35,19,0.5588235294117647,7,2,34,0.058823529411764705
Anushka-codergirl,32,0.37209302325581395,15,64,0.7441860465116279,52,7,86,0.08139534883720931
ejunjsh,525,6.402439024390244,251,92,1.1219512195121952,48,8,82,0.0975609756097561
henningkayser,11,0.25,4,6,0.13636363636363635,4,0,44,0.0
mtth-bfft,690,15.681818181818182,492,81,1.8409090909090908,45,8,44,0.18181818181818182
sdsdsd96,0,0.0,0,0,0.0,0,0,8,0.0
juathanduarte,7,0.14583333333333334,1,1,0.020833333333333332,1,1,48,0.020833333333333332
jaszhix,294,7.7368421052631575,113,61,1.605263157894737,19,5,38,0.13157894736842105
KwesitheDev,5,0.25,1,1,0.05,1,11,20,0.55
ibagsoft,21,1.105263157894737,7,34,1.7894736842105263,10,0,19,0.0
overture8,252,2.896551724137931,128,37,0.42528735632183906,10,1,87,0.011494252873563218
bplok20010,767,7.67,732,120,1.2,104,8,100,0.08
elijh,8,0.21621621621621623,3,6,0.16216216216216217,5,1,37,0.02702702702702703
mark-bradshaw,146,13.272727272727273,110,16,1.4545454545454546,12,3,11,0.2727272727272727
ebekker,1363,13.63,1212,205,2.05,175,4,100,0.04
sorear,360,4.390243902439025,152,59,0.7195121951219512,14,3,82,0.036585365853658534
CpanelInc,242,2.42,44,211,2.11,40,35,100,0.35
kornilova203,254,6.0476190476190474,130,27,0.6428571428571429,18,6,42,0.14285714285714285
leticiaantunesjpeg,1,0.05555555555555555,1,3,0.16666666666666666,2,0,18,0.0
synCodx,1,0.1,1,0,0.0,0,4,10,0.4
nicolasblanco,1424,14.24,935,217,2.17,85,5,100,0.05
alanhartless,10,0.2702702702702703,5,10,0.2702702702702703,5,0,37,0.0
yuxincs,258,12.9,148,50,2.5,26,7,20,0.35
discoveryinc-cs,1,1.0,1,0,0.0,0,1,1,1.0
daf2a,110,3.142857142857143,73,27,0.7714285714285715,18,2,35,0.05714285714285714
jonathanccardoso,25,0.3472222222222222,8,5,0.06944444444444445,2,2,72,0.027777777777777776
georgejecook,384,4.129032258064516,282,71,0.7634408602150538,29,5,93,0.053763440860215055
marcinwyszynski,144,2.1818181818181817,62,61,0.9242424242424242,18,2,66,0.030303030303030304
johlju,24,0.26666666666666666,3,4,0.044444444444444446,1,14,90,0.15555555555555556
keklikhasan,1399,42.39393939393939,1375,395,11.969696969696969,389,1,33,0.030303030303030304
gh123man,1027,12.679012345679013,472,101,1.2469135802469136,36,10,81,0.12345679012345678
kkc,80,0.9876543209876543,21,26,0.32098765432098764,10,8,81,0.09876543209876543
JulliaThainna,0,0.0,0,1,0.05555555555555555,1,1,18,0.05555555555555555
gotbahn,179,12.785714285714286,130,47,3.357142857142857,40,4,14,0.2857142857142857
LordRegis22,77,2.138888888888889,20,26,0.7222222222222222,15,1,36,0.027777777777777776
dioneapp,206,51.5,170,41,10.25,20,3,4,0.75
chamatt,330,5.689655172413793,246,33,0.5689655172413793,9,3,58,0.05172413793103448
prokulski,58,1.183673469387755,12,28,0.5714285714285714,3,6,49,0.12244897959183673
kommen,92,1.4603174603174602,24,12,0.19047619047619047,4,7,63,0.1111111111111111
TalitaSouza26,18,0.6666666666666666,3,2,0.07407407407407407,1,1,27,0.037037037037037035
wilfredmulenga,52,0.8813559322033898,12,18,0.3050847457627119,7,4,59,0.06779661016949153
movefuns,588,15.891891891891891,183,197,5.324324324324325,117,3,37,0.08108108108108109
patel-zeel,45,0.45,10,28,0.28,4,2,100,0.02
2knal,40,0.8,18,30,0.6,7,0,50,0.0
asparagui,42,5.25,24,4,0.5,4,0,8,0.0
eremohn,7,0.18421052631578946,3,5,0.13157894736842105,3,7,38,0.18421052631578946
soarpenguin,443,4.663157894736842,140,213,2.2421052631578946,46,5,95,0.05263157894736842
dushmanta05,36,0.4090909090909091,11,6,0.06818181818181818,3,12,88,0.13636363636363635
Stand-der-Technik,0,0.0,0,0,0.0,0,0,0,0.0
yehwansong,9,0.09,2,7,0.07,1,8,100,0.08
rampageX,79,0.79,38,18,0.18,10,19,100,0.19
